"Restaurant_ID","TotalRating","DinnerRating","LunchRating","ReviewNum","Rating_Category"
"339","4.3","3.45","","67","4~5 星餐廳"
"340","3.433333333333333","3.02","3.09","34","3~3.9 星餐廳"
"341","3.6666666666666665","3.06","","4","3~3.9 星餐廳"
"342","3.966666666666667","3.52","3.08","22","3~3.9 星餐廳"
"343","3.4","3.01","3.0","26","3~3.9 星餐廳"
"344","3.533333333333333","3.15","3.07","21","3~3.9 星餐廳"
"345","3.6666666666666665","3.06","","6","3~3.9 星餐廳"
"346","3.433333333333333","3.09","","23","3~3.9 星餐廳"
"347","4.0","3.46","3.06","4","4~5 星餐廳"
"348","3.466666666666667","3.0","","6","3~3.9 星餐廳"
"349","3.433333333333333","3.3","","3","3~3.9 星餐廳"
"350","3.566666666666667","3.03","3.02","4","3~3.9 星餐廳"
"351","3.466666666666667","3.1","3.02","47","3~3.9 星餐廳"
"352","3.6666666666666665","3.06","3.06","12","3~3.9 星餐廳"
"353","4.4","3.5","3.52","67","4~5 星餐廳"
"354","3.6666666666666665","3.05","","1","3~3.9 星餐廳"
"355","3.5","3.05","","11","3~3.9 星餐廳"
"356","3.466666666666667","3.12","3.06","14","3~3.9 星餐廳"
"357","3.566666666666667","3.0","3.05","15","3~3.9 星餐廳"
"358","3.566666666666667","3.05","","9","3~3.9 星餐廳"
"359","4.266666666666667","3.54","3.12","20","4~5 星餐廳"
"360","3.466666666666667","3.03","","6","3~3.9 星餐廳"
"361","3.566666666666667","3.05","","4","3~3.9 星餐廳"
"362","3.7","3.0","","9","3~3.9 星餐廳"
"363","4.1","3.3","3.53","97","4~5 星餐廳"
"364","3.566666666666667","3.05","","13","3~3.9 星餐廳"
"365","3.7666666666666666","3.01","","9","3~3.9 星餐廳"
"366","3.633333333333333","3.0","","2","3~3.9 星餐廳"
"367","3.4","3.28","","28","3~3.9 星餐廳"
"368","3.433333333333333","3.21","","22","3~3.9 星餐廳"
"369","3.5","3.22","3.04","6","3~3.9 星餐廳"
"370","4.133333333333334","3.47","","51","4~5 星餐廳"
"371","3.6","3.07","3.08","14","3~3.9 星餐廳"
"372","3.6","3.07","","8","3~3.9 星餐廳"
"373","3.4","3.02","","31","3~3.9 星餐廳"
"374","4.133333333333334","3.41","","20","4~5 星餐廳"
"375","3.5","3.0","3.06","45","3~3.9 星餐廳"
"376","3.6666666666666665","3.09","3.02","27","3~3.9 星餐廳"
"377","3.5","3.14","","9","3~3.9 星餐廳"
"378","3.8333333333333335","3.01","3.05","3","3~3.9 星餐廳"
"379","3.4","3.05","3.0","21","3~3.9 星餐廳"
"380","3.633333333333333","3.04","3.0","6","3~3.9 星餐廳"
"381","3.333333333333333","3.0","","1","3~3.9 星餐廳"
"382","4.133333333333334","3.5","3.38","36","4~5 星餐廳"
"383","3.4","3.14","3.1","29","3~3.9 星餐廳"
"384","3.4","3.06","3.39","60","3~3.9 星餐廳"
"385","4.7","3.91","","52","4~5 星餐廳"
"386","3.533333333333333","3.41","3.02","20","3~3.9 星餐廳"
"387","3.7","3.34","3.12","9","3~3.9 星餐廳"
"388","3.566666666666667","3.04","","3","3~3.9 星餐廳"
"389","3.466666666666667","3.04","","5","3~3.9 星餐廳"
"390","3.5","3.06","","9","3~3.9 星餐廳"
"391","4.0","3.51","3.5","6","4~5 星餐廳"
"392","3.433333333333333","3.01","3.0","23","3~3.9 星餐廳"
"393","3.7666666666666666","3.0","3.06","11","3~3.9 星餐廳"
"394","4.2","3.51","","33","4~5 星餐廳"
"395","4.233333333333333","3.37","3.48","196","4~5 星餐廳"
"396","3.633333333333333","3.06","","3","3~3.9 星餐廳"
"397","3.5","3.0","3.08","24","3~3.9 星餐廳"
"398","3.7666666666666666","3.0","3.03","48","3~3.9 星餐廳"
"399","3.333333333333333","3.3","","7","3~3.9 星餐廳"
"400","4.066666666666666","3.47","3.12","18","4~5 星餐廳"
"401","3.6","3.39","","21","3~3.9 星餐廳"
