ID,Place_ID,Name,Rating,UserRatingsTotal,Type,PriceLevel,Lat,Lng,Address
74,ChIJA4Pi1_gIAWARjoS9UxmAvsI,Yoshida Shrine,4.3,1843,Place Of Worship,,35.0252843,135.784702,"30 Yoshidakaguraokacho, Sakyo Ward, Kyoto, 606-8311, Japan"
75,ChIJceHc0AmoAWARLsqeCrglA1o,Kamigamo Shrine,4.5,8314,Place Of Worship,,35.0603776,135.7527293,"339 Kamigamo Motoyama, Kita Ward, Kyoto, 603-8047, Japan"
76,ChIJPYsCiCwGAWARL_9Mn21hDb8,Takenobu Inari-jinja Shrine,4.1,318,Place Of Worship,,35.0075747,135.7466018,"Japan, 〒604-8801 Kyoto, Nakagyo Ward, Imashinzaikenishicho, ３８"
77,ChIJw6twrXsIAWARBOOJZKNt64M,Go-ō Shrine,4.3,3769,Place Of Worship,,35.0222174,135.7588455,"Japan, 〒602-8011 Kyoto, Kamigyo Ward, Okakuencho, 385"
78,ChIJJzgo5iUJAWAR3ZZo6XwH72Y,Himukai Dai Shrine,4.4,939,Place Of Worship,,35.006749,135.7953638,"29 Hinookaissaikyodanicho, Yamashina Ward, Kyoto, 607-8491, Japan"
79,ChIJGVfGHEgHAWARtUso5b52ScU,Matsunoo-taisha (Matsuo-taisha) Shrine,4.3,4246,Place Of Worship,,34.9999247,135.6849591,"Japan, 〒616-0024 Kyoto, Nishikyo Ward, Arashiyama Miyamachi, ３"
80,ChIJAWwhhZkIAWARlNmEvYx48oM,Kyōto Ebisu-jinja Shrine,4.3,1796,Place Of Worship,,34.999848,135.7717286,"Japan, 〒605-0811 Kyoto, Higashiyama Ward, Komatsucho, 125 恵美須神社"
81,ChIJ5yMp2acIAWARoPnPbdoyVyI,Dōso-jinja Shrine,3.9,131,Place Of Worship,,34.9868456,135.7536706,"Japan, 〒600-8234 Kyoto, Shimogyo Ward, Minamifudodocho, 5-4 道祖神社"
82,ChIJUXmPed8HAWAR0BFoGpHqivI,Seimei Shrine,4.4,7730,Place Of Worship,,35.02776,135.7511802,"806 Seimeicho, Kamigyo Ward, Kyoto, 602-8222, Japan"
83,ChIJeejhqvEIAWAR78zttk51xkw,Kumano-jinja Shrine,4.0,743,Place Of Worship,,35.0176595,135.7780607,"43 Shogoin Sannocho, Sakyo Ward, Kyoto, 606-8392, Japan"
84,ChIJ09DpahkJAWARkpnLPqBCPZ4,Ōtoyo Shrine,4.3,1327,Place Of Worship,,35.018174,135.7964305,"Japan, 〒606-8424 Kyoto, Sakyo Ward, Shishigatani Miyanomaecho, １"
85,ChIJEWUkTboIAWARZrMMK3_zuaE,Ichihime-jinja Shrine,4.1,1219,Place Of Worship,,34.9939859,135.764728,"Japan, 〒600-8119 Kyoto, Shimogyo Ward, Motoshiogamacho"
86,ChIJifEeFpQPAWARxVZ6ds_i080,Gokōnomiya Shrine,4.2,2043,Place Of Worship,,34.9344779,135.7674878,"174 Gokogumonzencho, Fushimi Ward, Kyoto, 612-8039, Japan"
87,ChIJrZ8NkJJIAWARwRVgbKoRx2I,Tōfuku-ji Temple,4.5,10709,Place Of Worship,,34.976025,135.7737627,"15 Chome-778 Honmachi, Higashiyama Ward, Kyoto, 605-0981, Japan"
88,ChIJoTPG1jIPAWAR9cZpjLy2MQ8,Imahie-jingū Shrine,4.0,281,Place Of Worship,,34.9888652,135.7781138,"451-1 Myohoin Maekawacho, Higashiyama Ward, Kyoto, 605-0932, Japan"
89,ChIJu2i3mhgJAWARW3YGzjr3ErQ,Kumano Nyakuōji Shrine,4.1,695,Place Of Worship,,35.01564700000001,135.7963131,"2 Nyakuojicho, Sakyo Ward, Kyoto, 606-8444, Japan"
90,ChIJSfVT54wHAWAR2yBLWbHLplE,Hirano Shrine,4.2,3063,Place Of Worship,,35.0325953,135.7319823,"Japan, 〒603-8322 Kyoto, Kita Ward, Hirano Miyamotocho, １"
