Restaurant_ID,Name,JapaneseName,Station,FirstCategory,SecondCategory,TotalRating,Lat,Long,DinnerPrice,LunchPrice,Price_Category
99,nihonshusumiyakiyaiki  ,日本酒 炭焼き家 粋,Fushimi Momoyama,Izakaya (Tavern),Kappo (Traditional Japanese),3.6,34.9319940369551,135.763480413649,￥3000～￥3999,,中價位
100,Taketori  ,竹とり,Hanazono,Fowl,Yakitori (Grilled chicken),3.7,35.0200080927924,135.71865044509,￥4000～￥4999,,中價位
101,Pierupureshiuzu  ,ピエール プレシウーズ,Karasuma Oike,French,Western Cuisine,3.566666666666667,35.0072606963549,135.762778950935,￥5000～￥5999,￥1000～￥1999,中價位
102,Yamadaruma  ,やまだるま,Karasuma Oike,Izakaya (Tavern),Seafood,3.733333333333333,35.0073406469914,135.760442474632,￥3000～￥3999, ～￥999,中價位
103,unagihitsumabushisumiyagura  ,うなぎ･ひつまぶし炭櫓 京都四条河原町店,Kawaramachi,Unagi (Freshwater eel),Kyoto Cuisine,3.6666666666666665,35.0035820463351,135.769830756877,￥2000～￥2999,￥1000～￥1999,平價
104,pittsuxeriaba-rurenapori  ,ピッツェリア・バール・レ・ナポリ 京都錦,Karasuma,Italian,Pizza,3.466666666666667,35.0050542545871,135.762143271984,￥2000～￥2999, ～￥999,平價
105,kyoutoufusousakuhirarinteikakurean  ,京豆腐創作 平林亭 隠れ庵,Kyoto,Izakaya (Tavern),Tofu,3.5,34.9894058915637,135.76003750068,￥3000～￥3999,￥1000～￥1999,中價位
106,Yakinikusebun  ,焼肉 SEVEN,Tambaguchi,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.533333333333333,34.9893643762064,135.736640279062,￥3000～￥3999,,中價位
107,Kushiyakimanten  ,串焼き満天 四条烏丸店,Karasuma,Yakitori (Grilled chicken),Izakaya (Tavern),3.6,35.0043123705694,135.761059785014,￥3000～￥3999,,中價位
108,Yakinikuichiba  ,焼肉市場 高野店,Chayama,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.566666666666667,35.0405925559109,135.787095952307,￥3000～￥3999,,中價位
109,Pizzeria e Bar La Voce  ,Pizzeria e Bar La Voce,Kawaramachi,Italian,Pizza,3.633333333333333,35.0024457106357,135.765917523079,￥3000～￥3999,￥1000～￥1999,中價位
110,Nyavetonamu  ,ニャーヴェトナム 京都店,Kyoto,Viet Nam cuisine,Cafe,3.5,34.9887087338191,135.759459802978,￥3000～￥3999,￥1000～￥1999,中價位
111,Taishuusakabatenuzumasatenjingawaten  ,大衆酒場 天 太秦天神川店,Uzumasa Tenjingawa,Izakaya (Tavern),Yakitori (Grilled chicken),3.466666666666667,35.0113916436711,135.715086610472,￥3000～￥3999,￥3000～￥3999,中價位
112,hoterukeihankyoutogurandeokujoubiaga-den  ,ホテル京阪京都 グランデ 屋上ビアガーデン,Kyoto,Beer garden,Beer,3.3,34.9835995832687,135.760902140649,￥3000～￥3999,,中價位
113,Gionramburu  ,祇園らんぶる,Gion Shijo,Kyoto Cuisine,Creative cuisine,4.3,35.0031163586616,135.775318100373,￥5000～￥5999,￥3000～￥3999,中價位
114,Shisui  ,紫水,Sanjo,Izakaya (Tavern),Kyoto Cuisine,3.8333333333333335,35.009195902394,135.770522107655,￥3000～￥3999,,中價位
115,gyouzaba-anzukko  ,GYOZA BAR 杏っ子,Kyoto Shiyakusho Mae,Dumplings,Chinese,3.6,35.0092211611541,135.769588017402,￥2000～￥2999,,中價位
116,jukuseiyakinikupondo  ,熟成焼肉 听 四条大宮店,Shijo Omiya,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.466666666666667,35.0045498978592,135.748173899804,￥5000～￥5999,￥1000～￥1999,中價位
117,KORAN  ,香蘭,Sai,Korean cuisine,Yakiniku (BBQ Beef),3.2666666666666666,35.003480331926,135.734669237277,￥4000～￥4999,,中價位
118,Kyoutonijoutosaka  ,京都二条とさか,Marutamachi,Kappo (Traditional Japanese),Japanese food (other),4.4,35.0135900066418,135.762050386696,￥8000～￥9999,￥2000～￥2999,高價位
119,YAMAMURA GYUUBEI  ,近江牛Steak&Wine 山村牛兵衛 四条大宮店,Omiya,Izakaya (Tavern),Italian,3.433333333333333,35.0050615247931,135.749032138305,￥3000～￥3999,￥1000～￥1999,中價位
120,Poquito  ,ポキート,Kyoto Shiyakusho Mae,Spain,Dining bar,4.166666666666667,35.0103402053316,135.76942797917,￥5000～￥5999,,高價位
121,Machiyashisenhoshitsukiyo  ,町家四川 星月夜,Omiya,Sichuan Cuisine,Shanghai Cuisine,4.2,35.0014650442168,135.753565538506,￥8000～￥9999,￥3000～￥3999,高價位
122,Ameirobisutoroaruru  ,アメイロビストロアルル,Nishi Maizuru,Italian,Cafe,3.533333333333333,35.4531345954263,135.329018056996,￥3000～￥3999,￥1000～￥1999,中價位
123,LODGE  ,北海道ステーキハウス LODGE,Kyoto Shiyakusho Mae,Steak,Izakaya (Tavern),3.2666666666666666,35.0097955295841,135.768753338055,￥4000～￥4999,￥1000～￥1999,中價位
124,Yosuke YAMAJI  ,山地陽介,Gion Shijo,French,Modern French,4.8,35.0027080751407,135.775669756633,￥20000～￥29999,￥8000～￥9999,頂級
125,Feliz-Lana  ,フェリスラナ,Karasuma,Italian,Bar,3.3,35.0023384434237,135.762685018699,￥3000～￥3999,￥1000～￥1999,中價位
126,Wakanoshizuku  ,和花のしずく 三条木屋町店,Sanjo,Izakaya (Tavern),Chanko Nabe (Sumo Wrestlers Hot Pot),3.3666666666666667,35.0090970189682,135.770229358743,￥3000～￥3999,,中價位
127,fujiyakyoushoku  ,Fuji屋 京色,Kyoto Shiyakusho Mae,Izakaya (Tavern),Japanese food (other),3.6666666666666665,35.0135175544319,135.764342699656,￥5000～￥5999,￥4000～￥4999,中價位
128,Teramachiyoshikura  ,寺町よしくら,Demachiyanagi,Kaiseki (Traditional Japanese),Kyoto Cuisine,3.533333333333333,35.0287626378569,135.767667880596,￥5000～￥5999,￥1000～￥1999,中價位
129,sakanaryouritosakeshinsengumi  ,魚料理と酒 新鮮具味,Fushimi,Izakaya (Tavern),Seafood,3.5,34.9402814766159,135.747163053901,￥6000～￥7999,￥2000～￥2999,中價位
130,bisutorowaraku  ,Bistro WARAKU 四条柳馬場店,Karasuma,Bistro,Bar,3.5,35.0044229668434,135.764068141189,￥4000～￥4999,￥1000～￥1999,中價位
131,Uroko  ,鱗,Kawaramachi,Izakaya (Tavern),Japanese food (other),3.3666666666666667,35.0044541828409,135.770264014074,￥3000～￥3999,,中價位
132,Ipponyari  ,一本槍,Fujinomori,Fugu (Blowfish),Kappo (Traditional Japanese),3.533333333333333,34.9574921438766,135.763530902143,￥8000～￥9999,,高價位
133,Higashinotouinsou  ,東洞院SOU,Karasuma Oike,Kappo (Traditional Japanese),Japanese food (other),3.5,35.0074942517641,135.761020197357,￥4000～￥4999,￥1000～￥1999,中價位
134,hokkorisakabanagomiya  ,ほっこり酒場なごみ家,Shijo Omiya,Izakaya (Tavern),Yakitori (Grilled chicken),3.533333333333333,35.0061571694362,135.744938816698,￥3000～￥3999,,中價位
135,teppandainingugionshou  ,鉄板Dining祇園 翔 縄手店,Gion Shijo,Izakaya (Tavern),Teppanyaki,3.5,35.0040289967583,135.772909925019,￥2000～￥2999,,中價位
135,teppandainingugionshou  ,鉄板Dining祇園 翔 縄手店,Gion Shijo,Izakaya (Tavern),Teppanyaki,3.5,35.0040289967583,135.772909925019,￥2000～￥2999,,中價位
136,Charcoal  ,チャコール,Shijo,Italian,Bar,4.3,35.0040659194942,135.755990495142,￥3000～￥3999,,中價位
137,rakuenzakayaannachuraru  ,楽園酒屋 アンナチュラル,Demachiyanagi,Izakaya (Tavern),Dining bar,3.3666666666666667,35.029520546032,135.779161565477,￥2000～￥2999,,中價位
