HotelName,Address,Rating,UserRatingsTotal,Types,Lat,Lng,Place_ID
Jacky's House,京都市山科区竹鼻立原町２４−１２,5,2,"lodging, point_of_interest, establishment",34.98874189999999,135.8192432,ChIJkzpnbAkPAWARk8kFcPhAF4w
カーサ―坂脇,京都市山科区日ノ岡坂脇町３２,1,5,"lodging, point_of_interest, establishment",34.9963096,135.797381,ChIJr4lVffQPAWAR1uhASi8t52E
源ヴィラ 京都日ノ岡,京都市山科区日ノ岡朝田町３０−１１ 源ヴィラ,,,"lodging, point_of_interest, establishment",34.9971234,135.7969679,ChIJJZwRgFYPAWAR7eolzHjZi_o
みのり荘,京都市山科区竹鼻扇町４４−２,,,"lodging, point_of_interest, establishment",34.9888244,135.8210617,ChIJexFpSCsPAWARj4QW1iD_MxQ
山科ゲストハウス,京都市山科区北花山山田町７９−１,5,1,"lodging, point_of_interest, establishment",34.9986048,135.794366,ChIJHWvcimUJAWAR1N-cTEBE5Nc
ゲストハウス 舞妓,京都市山科区四ノ宮岩久保町１０−７ 10番地7,,,"lodging, point_of_interest, establishment",34.9916539,135.8252575,ChIJScU1xdEPAWARRqUA8qDYKn0
Come on UP Share house Yamashina - カモンアップ 山科シェアハウス,京都市山科区音羽前田町１−７,4.3,6,"lodging, point_of_interest, establishment",34.9864152,135.8257234,ChIJXZA8iPEPAWARkUR-8iocq14
京の宿 月光庵,京都市中京区西ノ京西月光町１８−２０,5,60,"lodging, point_of_interest, establishment",35.0093978,135.7371542,ChIJl9PS7csHAWARjsL9JuR0Zuk
平安宮内裏の宿,京都市上京区東神明町２９７−１ ２９７−１,4.4,43,"lodging, point_of_interest, establishment",35.02097550000001,135.7441216,ChIJDdERFNsHAWARmA7Rw9tcfEE
ゲストハウス円町家,京都市中京区西ノ京中保町９２,3.9,8,"lodging, point_of_interest, establishment",35.020729,135.732212,ChIJqT_o678HAWARYYdWZucQiG8
二条椿や,京都市中京区西ノ京池ノ内町１６−２０ 京燃ガレージ,4.5,6,"lodging, point_of_interest, establishment",35.0105324,135.7464816,ChIJVYfUTtMHAWARx4EB6EPX-yA
ANA Crowne Plaza Kyoto by IHG,"Nijojo-Mae, Horikawa-Dori, 中京区 京都市",4,2682,"lodging, point_of_interest, establishment",35.0140901,135.7491371,ChIJbWJTDoAIAWARCJAJWDq832o
ゲストハウス 二条庵,京都市中京区聚楽廻東町３１−９,4.5,4,"lodging, point_of_interest, establishment",35.0191027,135.7416004,ChIJnZ8B38QHAWARuFSdwECnJl8
ウサギノネドコ京都店,京都市中京区西ノ京南原町３７,4.2,322,"cafe, lodging, food, point_of_interest, store, establishment",35.0108633,135.7338086,ChIJcWKZzckHAWARg4cx-SWu9FY
Stay SAKURA Kyoto 二条城西Ⅰ,京都市中京区聚楽廻中町５１番地１０,4.3,12,"lodging, point_of_interest, establishment",35.0166941,135.7411349,ChIJDQvZY8UHAWARMn3QC3XIJ5w
Miro Kyoto Nijo Hotel,"２０-1 西ノ京勧学院町, 中京区 京都市",4.2,200,"lodging, point_of_interest, establishment",35.00899899999999,135.7444649,ChIJD06WLS0GAWARlp2PInqRjUk
弁天庵,京都市上京区弁天町305番地9,4.5,4,"lodging, point_of_interest, establishment",35.0219045,135.7437728,ChIJXTj9XdsHAWARtEROZEAIpm4
Stay SAKURA Kyoto 朱雀大路,京都市中京区壬生朱雀町２５−１３,4.3,53,"lodging, point_of_interest, establishment",35.007676,135.7427053,ChIJ__9bWS0GAWARBhrk5LLDui8
二条ききょう亭,京都市中京区聚楽廻南町３１−３,5,3,"lodging, point_of_interest, establishment",35.014279,135.743138,ChIJPSvh3NEHAWARzK6gvl8hTdg
ゲストハウス ハナレイ,京都市上京区下横町２０２−３,,,"lodging, point_of_interest, establishment",35.023845,135.7337508,ChIJrb2d2uoHAWAR9fY0JbbTTio
故郷の家,京都市右京区太秦森ケ東町２９−１０,3.6,10,"lodging, point_of_interest, establishment",35.0145219,135.7161672,ChIJSYrshJ8HAWARW5bPjVj12gI
"ろうじ屋 rental cycle, motorcycle ROUJIYA",京都市中京区西ノ京池ノ内町22−５８,4.3,109,"travel_agency, lodging, point_of_interest, establishment",35.0092174,135.7453095,ChIJUTRI0SwGAWAR-DGqGZYlUCc
